label,yaw,position.x,position.y,position.z,dimensions.x,dimensions.y,dimensions.z
Car,2.349970071,100.208,115.309,0.591,2.195,4.524,1.686
Car,0.245222737,26.055,13.897,0.253,1.815,4.816,1.558
Car,-0.781387361,19.757,24.971,0.395,1.934,4.162,1.555
Car,2.353460703,81.272,95.87,0.332,1.794,4.436,1.538
Car,2.409311924,56.015,70.041,0.376,1.812,4.691,1.626
Pedestrian,2.170032549,99.985,129.498,0.63,0.794,0.696,1.795
Car,-0.776607173,176.435,188.504,0.493,2.077,4.48,1.531
Car,2.215662867,189.345,210.875,0.181,1.997,4.48,1.531
Car,2.384876656,36.403,47.297,0.45,2.077,4.951,1.93
Car,2.349970071,109.527,124.264,0.564,2.195,4.524,1.686
Car,2.359352012,89.971,104.412,0.676,2.195,4.691,1.626
Pedestrian,2.397951493,22.957,52.195,0.892,0.956,0.985,1.995
Car,2.367423364,18.531,33.108,0.445,1.806,4.561,1.512
Car,2.380306214,20.759,31.401,0.591,1.867,4.629,1.673
Other Vehicle - Uncommon,-0.784097893,4.823,-26.158,0.729,1.405,2.943,2
Car,2.326786802,-60.458,-37.423,0.934,2.104,4.215,1.681
Car,2.380306214,26.281,36.583,0.451,1.867,4.689,1.511
Other Vehicle - Uncommon,0.804151726,-6.299,-24.519,0.929,1.453,3.055,2
Car,-0.797352559,-44.205,-44.985,0.986,2.049,4.409,1.733
Towed Object,0.809565738,-90.893,118.305,1.758,3.096,7.262,3.712
Car,0.828042681,-79.754,107.364,0.519,1.825,4.441,1.641
Car,2.374344169,82.091,107.072,0.679,1.99,4.386,1.76
Cones,2.319776953,-12.685,48.946,0.199,0.25,0.513,0.726
Other Vehicle - Uncommon,-0.661924845,16.033,-36.19,0.629,1.405,2.943,2
Car,2.398442208,-30.673,-7.523,0.759,1.849,4.723,1.561
Other Vehicle - Uncommon,2.340041468,29.245,-50.182,0.329,1.405,2.943,2
Car,-0.791622665,-3.208,-2.446,0.719,1.94,4.302,1.858
Car,2.3813857,-18.233,-3.271,0.769,1.756,4.441,1.521
Pedestrian,2.388516152,6.506,34.947,0.781,0.824,1.259,1.917
Car,-2.372426925,-6.854,26.46,0.589,2.102,4.628,1.474
Car,0.635908095,34.919,-11.359,0.811,1.924,4.164,1.663
Pickup Truck,0.618454802,40.027,-18.073,1.355,2.333,5.944,2.116
Pickup Truck,0.653361388,25.906,1.561,0.595,2.216,6.266,1.945
Other Vehicle - Uncommon,-0.801551186,25.897,-47.279,0.329,1.405,2.943,2
Car,0.583696599,49.818,-32.192,2.118,1.841,4.408,1.99
Car,0.623267214,44.422,-17.24,1.22,1.841,4.408,1.99
Car,-2.354973632,-8.704,23.317,0.6,1.937,4.143,1.642
Car,-0.776362307,114.658,116.61,0.221,1.983,4.2,1.643
Car,-1.820592369,-128.051,138.697,0.169,1.825,4.441,1.641
Car,-2.33752034,-19.084,33.955,0.658,2.17,4.835,1.836
Car,-2.33752034,-13.885,28.142,0.481,2.044,4.381,1.605
Car,2.374344169,126.755,152.526,0.295,2.039,4.503,1.714
Personal Mobility Device,0.778505468,52.509,45.769,0.173,0.539,1.065,1.225
Construction Signs,-2.363801178,-24.364,30.921,0.439,0.931,0.764,1.249
Car,0.788870501,-95.142,117.688,0.746,1.913,4.441,1.641
Car,-2.344965119,-32.867,43.622,0.265,1.913,4.441,1.623
Car,0.67212607,70.265,-59.511,3.837,1.841,4.408,1.868
Car,0.499920981,29.726,3.122,0.278,1.841,4.408,1.677
Car,0.745071882,80.825,-78.53,5.355,1.841,4.408,1.625
Car,0.622481693,59,-44.469,3.384,1.841,4.408,2.105
Other Vehicle - Construction Vehicle,2.283860613,45.789,69.968,1.788,2.757,7.215,4.132
Car,-0.776362307,125.363,127.323,0.321,1.983,4.2,1.643
Car,-0.776362307,164.026,166.822,0.201,1.983,4.2,1.402
Car,-0.776362307,138.981,141.251,0.221,1.983,4.2,1.643
Car,0.801291565,-66,97.693,-0.031,1.825,4.441,1.641
Other Vehicle - Uncommon,2.35749476,0.057,-23.036,0.929,1.405,2.943,2
Cones,2.320352623,49.373,71.445,0.118,0.266,0.307,0.792
Car,2.381333364,-13.929,9.403,0.572,1.849,4.464,1.69
Pickup Truck,2.367423281,-46.198,-28.928,1.275,2.025,5.589,2.033
Car,2.374344169,106.6,131.627,0.454,2.039,4.503,1.714
Car,0.695397127,87.756,-76.929,5.052,1.841,4.408,1.625
Other Vehicle - Uncommon,2.35749476,-2.98,-27.645,0.929,1.405,2.943,2
Construction Signs,-2.520880811,-31.226,66.802,0.328,0.908,1.08,1.227
Car,-0.823040399,-31.535,-25.462,1.063,1.94,4.302,1.637
Other Vehicle - Uncommon,2.374948053,8.964,-19.443,0.679,1.405,3.055,2
Signs,0.252357256,29.916,-17.188,1.671,1.31,0.55,2.95
Car,-0.809075958,-59.813,-56.119,1.013,1.94,4.302,1.637
Car,-0.776607173,182.401,197.639,0.493,2.077,4.48,1.531
Car,-2.354973632,-24.022,38.877,0.506,2.048,4.609,1.677
Car,0.67081468,20.917,7.334,0.399,1.884,4.162,1.523
Car,2.374344169,77.27,102.08,0.679,2.119,4.52,1.76
Car,-0.774169373,-18.469,-17.692,0.763,1.94,4.302,1.637
Car,2.374344169,114.778,140.501,0.295,2.039,4.503,1.714
Car,-0.784701777,61.753,62.483,0.282,2.039,4.669,1.833
Other Vehicle - Uncommon,2.374948053,14.177,-44.153,0.629,1.405,2.943,2
Car,-0.784701777,55.958,56.33,0.24,2.007,4.879,1.769
Other Vehicle - Uncommon,-0.696831431,0.24,-30.874,0.779,1.405,2.943,2
Other Vehicle - Uncommon,-2.389800805,2.79,-20.13,0.729,1.453,3.055,2
Pedestrian,-0.784091875,-3.205,23.607,0.673,0.77,0.933,1.862
Car,2.391797462,111.411,136.687,0.345,2.039,4.503,1.714
Car,2.328973487,-22.066,1.282,0.631,1.768,4.339,1.608
Car,-0.784701777,69.3,69.879,0.188,1.794,4.207,1.614
Construction Signs,-2.363801178,-43.362,50.13,0.345,1.067,1.168,1.22
Other Vehicle - Uncommon,2.340041468,31.725,-62.768,0.329,1.405,2.943,2
Other Vehicle - Uncommon,-0.784097893,-1.478,-29.192,0.879,1.405,2.943,2
Car,-0.784701777,77.817,78.463,0.23,1.815,3.695,1.561
Car,-0.777660246,2.211,7.862,0.725,1.893,4.097,1.701
Other Vehicle - Uncommon,0.716885264,0.228,-19.735,0.729,1.453,3.055,2
Car,-0.645075437,85.008,85.754,0.343,1.858,3.593,1.597
Car,2.374344169,134.621,159.967,0.295,2.039,4.503,1.714
Car,0.625583957,81.974,-74.745,4.755,1.841,4.408,1.625
Other Vehicle - Uncommon,2.322588175,4.978,-34.997,0.679,1.405,2.943,2
Car,0.990940091,42.117,-23.677,1.464,1.841,4.408,1.693
Car,0.801318161,-58.552,86.07,0.519,1.825,4.441,1.641
Car,2.374344169,152.975,179.175,0.295,2.039,4.503,1.714
Car,2.418061679,148.22,183.219,0.672,2.402,4.634,1.822
Construction Signs,0.80282691,-14.071,21.571,0.293,0.875,1.106,1.137
Car,2.374344169,86.425,111.36,0.461,1.853,4.24,1.603
Other Vehicle - Uncommon,2.35749476,9.323,-39.539,0.629,1.405,2.943,2
Other Vehicle - Uncommon,2.374948053,10.978,-41.146,0.629,1.405,2.943,2
Car,0.801261313,-56.415,79.709,0.459,1.756,4.441,1.521
Car,2.326786802,-64.358,-41.703,0.999,1.961,4.215,1.47
Other Vehicle - Uncommon,-0.749191308,12.979,-31.775,0.629,1.405,3.265,2
Pickup Truck,-1.460293437,3.329,-6.39,0.439,1.762,4.656,1.698
Car,-0.749795192,65.525,66.295,0.119,1.682,4.226,1.374
Car,-0.776607173,176.901,194.008,0.543,2.077,4.48,1.531
Cones,2.282202911,43.684,67.398,0.108,0.389,0.395,0.767
Cones,-2.314114693,37.137,63.866,0.211,0.353,0.516,0.785
Other Vehicle - Uncommon,2.566934271,17.683,-37.329,0.629,1.405,2.943,2
Other Vehicle - Uncommon,-0.766644601,2.052,-32.159,0.679,1.405,2.943,2
Car,0.618454802,30.894,-5.2,0.543,2.03,4.951,1.575
Motorcycle,-0.769254741,-14.544,-9.543,0.861,0.884,1.969,1.782
Other Vehicle - Construction Vehicle,-0.774935367,95.278,96.9,3.716,3.306,10.228,8.393
Construction Signs,-0.763354746,34.761,61.059,0.376,1.11,1.169,1.196
Car,-0.781151593,-9.739,-4.158,0.678,1.836,4.204,1.577
Cones,-2.314114693,39.158,65.926,0.258,0.469,0.419,0.981
Construction Signs,-2.363801178,-18.788,26.168,0.349,0.931,1.128,1.202
Construction Signs,-2.590693981,-4.988,41.134,0.381,0.883,1.08,1.152
Car,-0.767190466,-122.498,153.294,0.769,1.825,4.441,1.641
Other Vehicle - Uncommon,2.340041468,27.509,-48.529,0.329,1.405,2.943,2
Construction Signs,-2.363801178,-37.786,44.797,0.32,1.036,0.975,1.172
Car,2.468002917,-18.269,4.736,0.539,1.809,4.76,1.54
Construction Signs,-2.398707764,-27.295,63.408,0.365,0.908,1.08,1.227
Car,-0.776362307,156.172,159.028,0.201,1.983,4.2,1.402
Car,0.78690021,-80.445,103.242,0.677,1.825,4.441,1.641
Construction Signs,-2.363801178,-28.428,35.685,0.316,0.931,0.799,1.163
Cones,2.318681662,46.372,68.642,0.119,0.391,0.356,0.794
Semi-truck,-2.389676891,88.402,-100.628,8.056,3.096,7.262,3.712
Car,0.801318161,-64.867,87.441,0.459,1.756,4.441,1.521
Construction Signs,-2.363801178,-48.222,55.041,0.374,1.143,1.168,1.279
Car,-0.776607173,188.862,200.348,0.243,2.077,4.48,1.531
Construction Signs,-2.311441301,-8.969,45.069,0.375,0.883,1.08,1.113
Car,-0.784701777,81.12,81.989,0.29,1.915,4.2,1.536
Other Vehicle - Uncommon,-0.819004478,6.448,-36.646,0.679,1.405,2.943,2
Cones,-2.314114693,36.93,63.47,0.363,0.469,0.566,1.101
Car,-2.236420389,14.538,-10.435,0.349,1.841,5.174,1.541
Car,2.326786802,-39.265,-16.085,0.804,1.961,4.215,1.47
Other Vehicle - Uncommon,2.444761223,-26.207,-3.621,0.929,1.5,3.106,2
Construction Signs,-2.363801178,-33.054,40.171,0.298,0.977,0.975,1.128
Car,2.374344169,96.07,121.35,0.513,2.039,4.31,1.666
Other Vehicle - Uncommon,-0.784097893,6.5,-27.47,0.729,1.405,2.943,2
Other Vehicle - Uncommon,2.270228298,12.065,-22.568,0.679,1.405,2.943,2
Construction Signs,-0.833167916,29.709,56.336,0.404,1.06,0.939,1.201
Car,2.391797462,101.254,126.228,0.454,2.039,4.503,1.714
Other Vehicle - Uncommon,2.35749476,10.246,-20.967,0.679,1.405,2.943,2
Car,2.374344169,90.591,115.466,0.513,2.021,4.24,1.666
Other Vehicle - Uncommon,2.532027686,12.973,-27.502,0.629,1.405,2.943,2
Car,-2.28650882,-23.454,-35.891,0.974,1.881,4.18,1.593
Car,2.402329949,55.553,69.472,0.326,1.812,4.691,1.626
Car,-0.748683369,148.354,154.844,0.477,2.411,4.905,1.847
Car,2.332516779,109.051,123.905,0.568,2.195,4.524,1.686
Car,2.367423364,80.716,95.358,0.376,1.777,4.436,1.626
Car,0.242337953,26.059,14.05,0.219,1.886,4.787,1.545
Car,2.384876656,36.162,46.996,0.477,2.077,4.951,1.93
Car,2.412803433,-3.759,11.607,0.635,1.806,4.391,1.512
Car,2.349970071,99.84,114.968,0.73,2.195,4.524,1.686
Car,2.367423364,18.481,33.051,0.495,1.806,4.561,1.512
Car,2.356952292,89.636,104.077,0.676,2.195,4.524,1.626
Car,2.423274505,8.087,26.158,0.485,1.806,4.391,1.512
Pedestrian,2.453665222,22.882,52.044,0.831,0.946,1.081,1.885
Car,-0.788369582,20.453,25.734,0.363,1.934,4.229,1.555
Car,-0.776607173,148.085,154.575,0.477,2.411,4.905,1.847
Car,2.349970071,99.758,114.867,0.596,2.195,4.524,1.686
Car,0.245222737,26.051,13.95,0.263,1.815,4.816,1.558
Car,-0.781387361,20.443,25.662,0.391,1.934,4.162,1.555
Car,2.353460703,80.713,95.305,0.332,1.794,4.436,1.538
Car,2.409311924,55.445,69.418,0.376,1.812,4.691,1.626
Pedestrian,2.170032549,99.836,129.4,0.63,0.794,0.696,1.795
Car,-0.776607173,176.459,188.528,0.493,2.077,4.48,1.531
Car,2.219541376,188.898,210.535,0.216,1.997,4.48,1.531
Car,2.384876656,36.17,47.041,0.461,2.077,4.951,1.93
Car,2.349970071,109.088,123.832,0.566,2.195,4.524,1.686
Car,2.35580659,89.56,104,0.676,2.195,4.691,1.626
Pedestrian,2.397951493,22.877,52.105,0.878,0.956,0.985,1.995
Car,2.367423364,18.388,32.962,0.445,1.806,4.561,1.512
Car,2.380306214,20.759,31.401,0.591,1.867,4.629,1.673
Other Vehicle - Uncommon,-0.784097893,4.823,-26.158,0.729,1.405,2.943,2
Car,2.326786802,-60.458,-37.423,0.934,2.104,4.215,1.681
Car,2.380306214,26.281,36.583,0.451,1.867,4.689,1.511
Other Vehicle - Uncommon,0.804151726,-6.299,-24.519,0.929,1.453,3.055,2
Car,-0.797352559,-44.205,-44.985,0.986,2.049,4.409,1.733
Towed Object,0.809565738,-91.099,118.499,1.768,3.096,7.262,3.712
Car,0.828042681,-79.923,107.525,0.519,1.825,4.441,1.641
Car,2.374344169,82.091,107.072,0.679,1.99,4.386,1.76
Cones,2.319776953,-12.685,48.946,0.199,0.25,0.513,0.726
Other Vehicle - Uncommon,-0.661924845,16.033,-36.19,0.629,1.405,2.943,2
Car,2.398442208,-30.673,-7.523,0.759,1.849,4.723,1.561
Other Vehicle - Uncommon,2.340041468,29.245,-50.182,0.329,1.405,2.943,2
Car,-0.791622665,-2.708,-1.951,0.715,1.94,4.302,1.858
Car,2.3813857,-19.095,-4.165,0.789,1.756,4.441,1.521
Pedestrian,2.388516152,6.389,34.821,0.781,0.824,1.259,1.917
Car,-2.372426925,-6.854,26.46,0.589,2.102,4.628,1.474
Car,0.635908095,34.919,-11.359,0.811,1.924,4.164,1.663
Pickup Truck,0.618454802,40.027,-18.073,1.355,2.333,5.944,2.116
Pickup Truck,0.653361388,25.906,1.561,0.595,2.216,6.266,1.945
Other Vehicle - Uncommon,-0.801551186,25.897,-47.279,0.329,1.405,2.943,2
Car,0.583696599,49.566,-31.808,2.065,1.841,4.408,1.99
Car,0.618603184,43.87,-16.478,1.18,1.841,4.408,1.99
Car,-2.354973632,-8.704,23.317,0.6,1.937,4.143,1.642
Car,-0.776362307,114.658,116.61,0.221,1.983,4.2,1.643
Car,-1.909798086,-127.422,138.422,0.169,1.825,4.441,1.641
Car,-2.33752034,-19.084,33.955,0.658,2.17,4.835,1.836
Car,-2.33752034,-13.885,28.142,0.481,2.044,4.381,1.605
Car,2.374344169,126.755,152.526,0.295,2.039,4.503,1.714
Personal Mobility Device,0.778505468,52.509,45.769,0.173,0.539,1.065,1.225
Construction Signs,-2.363801178,-24.364,30.921,0.439,0.931,0.764,1.249
Car,0.788870501,-95.399,117.943,0.756,1.913,4.441,1.641
Car,-2.344965119,-31.91,42.677,0.276,1.913,4.441,1.623
Car,0.668247561,69.91,-59.058,3.826,1.841,4.408,1.868
Car,0.49773928,29.661,3.256,0.277,1.841,4.408,1.677
Car,0.747757004,79.603,-77.238,5.209,1.841,4.408,1.625
Car,0.618603184,58.724,-44.085,3.373,1.841,4.408,2.105
Other Vehicle - Construction Vehicle,2.283860613,45.789,69.968,1.788,2.757,7.215,4.132
Car,-0.776362307,125.363,127.323,0.321,1.983,4.2,1.643
Car,-0.776362307,164.026,166.822,0.201,1.983,4.2,1.402
Car,-0.776362307,138.981,141.251,0.221,1.983,4.2,1.643
Car,0.796627535,-67.071,98.763,-0.031,1.825,4.441,1.641
Other Vehicle - Uncommon,2.35749476,0.057,-23.036,0.929,1.405,2.943,2
Cones,2.320352623,49.373,71.445,0.118,0.266,0.307,0.792
Car,2.381333364,-13.929,9.403,0.572,1.849,4.464,1.69
Pickup Truck,2.367423281,-47.008,-29.763,1.285,2.025,5.589,2.033
Car,2.374344169,106.6,131.627,0.454,2.039,4.503,1.714
Car,0.695397127,87.498,-76.624,5.022,1.841,4.408,1.625
Other Vehicle - Uncommon,2.35749476,-2.98,-27.645,0.929,1.405,2.943,2
Construction Signs,-2.520880811,-31.226,66.802,0.328,0.908,1.08,1.227
Car,-0.81605787,-31.004,-24.977,1.063,1.94,4.302,1.637
Other Vehicle - Uncommon,2.374948053,8.964,-19.443,0.679,1.405,3.055,2
Signs,0.252357256,29.916,-17.188,1.671,1.31,0.55,2.95
Car,-0.809075958,-58.823,-55.167,1.013,1.94,4.302,1.637
Car,-0.776607173,182.401,197.639,0.493,2.077,4.48,1.531
Car,-2.354973632,-24.022,38.877,0.506,2.048,4.609,1.677
Car,0.67081468,20.917,7.334,0.399,1.884,4.162,1.523
Car,2.374344169,77.27,102.08,0.679,2.119,4.52,1.76
Car,-0.774169373,-18.308,-17.525,0.763,1.94,4.302,1.637
Car,2.374344169,114.778,140.501,0.295,2.039,4.503,1.714
Car,-0.784701777,61.753,62.483,0.282,2.039,4.669,1.833
Other Vehicle - Uncommon,2.374948053,14.177,-44.153,0.629,1.405,2.943,2
Car,-0.784701777,55.958,56.33,0.24,2.007,4.879,1.769
Other Vehicle - Uncommon,-0.696831431,0.24,-30.874,0.779,1.405,2.943,2
Other Vehicle - Uncommon,-2.389800805,2.79,-20.13,0.729,1.453,3.055,2
Pedestrian,-0.784091875,-3.09,23.721,0.681,0.77,0.933,1.862
Car,2.391797462,111.411,136.687,0.345,2.039,4.503,1.714
Car,2.328973487,-22.066,1.282,0.631,1.768,4.339,1.608
Car,-0.784701777,69.3,69.879,0.188,1.794,4.207,1.614
Construction Signs,-2.363801178,-43.362,50.13,0.345,1.067,1.168,1.22
Other Vehicle - Uncommon,2.340041468,31.725,-62.768,0.329,1.405,2.943,2
Other Vehicle - Uncommon,-0.784097893,-1.478,-29.192,0.879,1.405,2.943,2
Car,-0.784701777,77.817,78.463,0.23,1.815,3.695,1.561
Car,-0.777660246,2.732,8.394,0.727,1.893,4.097,1.701
Other Vehicle - Uncommon,0.716885264,0.228,-19.735,0.729,1.453,3.055,2
Car,-0.645075437,85.008,85.754,0.343,1.858,3.593,1.597
Car,2.374344169,134.621,159.967,0.295,2.039,4.503,1.714
Car,0.625583957,81.592,-74.23,4.722,1.841,4.408,1.625
Other Vehicle - Uncommon,2.322588175,4.978,-34.997,0.679,1.405,2.943,2
Car,1.002575619,41.699,-23.379,1.431,1.841,4.408,1.693
Car,0.797799818,-59.026,86.529,0.519,1.825,4.441,1.641
Car,2.374344169,152.975,179.175,0.295,2.039,4.503,1.714
Car,2.418061679,148.22,183.219,0.672,2.402,4.634,1.822
Construction Signs,0.80282691,-14.071,21.571,0.293,0.875,1.106,1.137
Car,2.374344169,86.425,111.36,0.461,1.853,4.24,1.603
Other Vehicle - Uncommon,2.35749476,9.323,-39.539,0.629,1.405,2.943,2
Other Vehicle - Uncommon,2.374948053,10.978,-41.146,0.629,1.405,2.943,2
Car,0.810589373,-57.013,80.303,0.459,1.756,4.441,1.521
Car,2.326786802,-64.358,-41.703,0.999,1.961,4.215,1.47
Other Vehicle - Uncommon,-0.749191308,12.979,-31.775,0.629,1.405,3.265,2
Pickup Truck,-1.49547687,3.916,-6.376,0.431,1.762,4.656,1.698
Car,-0.749795192,65.525,66.295,0.119,1.682,4.226,1.374
Car,-0.776607173,176.901,194.008,0.543,2.077,4.48,1.531
Cones,2.282202911,43.684,67.398,0.108,0.389,0.395,0.767
Cones,-2.314114693,37.137,63.866,0.211,0.353,0.516,0.785
Other Vehicle - Uncommon,2.566934271,17.683,-37.329,0.629,1.405,2.943,2
Other Vehicle - Uncommon,-0.766644601,2.052,-32.159,0.679,1.405,2.943,2
Car,0.618454802,30.894,-5.2,0.543,2.03,4.951,1.575
Motorcycle,-0.769254741,-14.184,-9.179,0.851,0.884,1.969,1.782
Other Vehicle - Construction Vehicle,-0.774935367,95.278,96.9,3.716,3.306,10.228,8.393
Construction Signs,-0.763354746,34.761,61.059,0.376,1.11,1.169,1.196
Car,-0.777660329,-9.304,-3.717,0.666,1.836,4.204,1.577
Cones,-2.314114693,39.158,65.926,0.258,0.469,0.419,0.981
Construction Signs,-2.363801178,-18.788,26.168,0.349,0.931,1.128,1.202
Construction Signs,-2.590693981,-4.988,41.134,0.381,0.883,1.08,1.152
Car,-0.767190466,-121.88,153.925,0.769,1.825,4.441,1.641
Other Vehicle - Uncommon,2.340041468,27.509,-48.529,0.329,1.405,2.943,2
Construction Signs,-2.363801178,-37.786,44.797,0.32,1.036,0.975,1.172
Car,2.468002917,-18.269,4.736,0.539,1.809,4.76,1.54
Construction Signs,-2.398707764,-27.295,63.408,0.365,0.908,1.08,1.227
Car,-0.776362307,156.172,159.028,0.201,1.983,4.2,1.402
Car,0.789832146,-80.832,103.628,0.699,1.825,4.441,1.641
Construction Signs,-2.363801178,-28.428,35.685,0.316,0.931,0.799,1.163
Cones,2.318681662,46.372,68.642,0.119,0.391,0.356,0.794
Semi-truck,-2.388089796,89.651,-101.96,8.15,3.096,7.262,3.712
Car,0.797799818,-65.341,87.909,0.459,1.756,4.441,1.521
Construction Signs,-2.363801178,-48.222,55.041,0.374,1.143,1.168,1.279
Car,-0.776607173,188.862,200.348,0.243,2.077,4.48,1.531
Construction Signs,-2.311441301,-8.969,45.069,0.375,0.883,1.08,1.113
Car,-0.784701777,81.12,81.989,0.29,1.915,4.2,1.536
Other Vehicle - Uncommon,-0.819004478,6.448,-36.646,0.679,1.405,2.943,2
Cones,-2.314114693,36.93,63.47,0.363,0.469,0.566,1.101
Car,-2.268085478,15.105,-10.926,0.359,1.841,5.174,1.541
Car,2.326786802,-39.265,-16.085,0.804,1.961,4.215,1.47
Other Vehicle - Uncommon,2.444761223,-26.207,-3.621,0.929,1.5,3.106,2
Construction Signs,-2.363801178,-33.054,40.171,0.298,0.977,0.975,1.128
Car,2.374344169,96.07,121.35,0.513,2.039,4.31,1.666
Other Vehicle - Uncommon,-0.784097893,6.5,-27.47,0.729,1.405,2.943,2
Other Vehicle - Uncommon,2.270228298,12.065,-22.568,0.679,1.405,2.943,2
Construction Signs,-0.833167916,29.709,56.336,0.404,1.06,0.939,1.201
Car,2.391797462,101.254,126.228,0.454,2.039,4.503,1.714
Other Vehicle - Uncommon,2.35749476,10.246,-20.967,0.679,1.405,2.943,2
Car,2.374344169,90.591,115.466,0.513,2.021,4.24,1.666
Other Vehicle - Uncommon,2.532027686,12.973,-27.502,0.629,1.405,2.943,2
Car,-2.28650882,-23.454,-35.891,0.974,1.881,4.18,1.593
Car,2.402329949,54.967,68.825,0.326,1.812,4.691,1.626
Car,-0.741700588,148.871,155.397,0.477,2.411,4.905,1.847
Car,2.332516779,108.596,123.472,0.568,2.195,4.524,1.686
Car,2.367423364,80.166,94.802,0.376,1.777,4.436,1.626
Car,0.238846563,26.044,14.142,0.22,1.886,4.787,1.545
Car,2.384876656,35.9,46.712,0.477,2.077,4.951,1.93
Car,2.405820905,-4.489,10.815,0.645,1.806,4.391,1.512
Car,2.349970071,99.429,114.558,0.728,2.195,4.524,1.686
Car,2.367423364,18.264,32.829,0.495,1.806,4.561,1.512
Car,2.353461027,89.231,103.671,0.676,2.195,4.524,1.626
Car,2.419783241,7.501,25.481,0.495,1.806,4.391,1.512
Pedestrian,2.446682441,22.773,51.905,0.827,0.946,1.081,1.885
Car,-0.784878317,21.169,26.441,0.353,1.934,4.229,1.555
Car,-0.776607173,148.59,155.101,0.477,2.411,4.905,1.847
Car,2.349970071,99.533,114.646,0.598,2.195,4.524,1.686
Car,0.245222737,26.047,14.003,0.273,1.815,4.816,1.558
Car,-0.781387361,21.129,26.354,0.387,1.934,4.162,1.555
Car,2.353460703,80.161,94.748,0.332,1.794,4.436,1.538
Car,2.409311924,54.901,68.822,0.376,1.812,4.691,1.626
Pedestrian,2.170032549,99.762,129.35,0.63,0.794,0.696,1.795
Car,-0.776607173,176.507,188.577,0.493,2.077,4.48,1.531
Car,2.223419886,188.451,210.195,0.25,1.997,4.48,1.531
Car,2.384876656,35.94,46.787,0.471,2.077,4.951,1.93
Car,2.349970071,108.648,123.4,0.568,2.195,4.524,1.686
Car,2.35230194,89.153,103.593,0.676,2.195,4.691,1.626
Pedestrian,2.397951493,22.767,51.911,0.853,0.956,0.985,1.995
Car,2.367423364,18.247,32.818,0.445,1.806,4.561,1.512
Car,2.380306214,20.759,31.401,0.591,1.867,4.629,1.673
Other Vehicle - Uncommon,-0.784097893,4.823,-26.158,0.729,1.405,2.943,2
Car,2.326786802,-60.458,-37.423,0.934,2.104,4.215,1.681
Car,2.380306214,26.281,36.583,0.451,1.867,4.689,1.511
Other Vehicle - Uncommon,0.804151726,-6.299,-24.519,0.929,1.453,3.055,2
Car,-0.797352559,-44.205,-44.985,0.986,2.049,4.409,1.733
Towed Object,0.809565738,-91.349,118.734,1.78,3.096,7.262,3.712
Car,0.828042681,-80.302,107.886,0.519,1.825,4.441,1.641
Car,2.374344169,82.091,107.072,0.679,1.99,4.386,1.76
Cones,2.319776953,-12.685,48.946,0.199,0.25,0.513,0.726
Other Vehicle - Uncommon,-0.661924845,16.033,-36.19,0.629,1.405,2.943,2
Car,2.398442208,-30.673,-7.523,0.759,1.849,4.723,1.561
Other Vehicle - Uncommon,2.340041468,29.245,-50.182,0.329,1.405,2.943,2
Car,-0.791622665,-2.207,-1.457,0.711,1.94,4.302,1.858
Car,2.3813857,-19.957,-5.059,0.809,1.756,4.441,1.521
Pedestrian,2.388516152,6.272,34.695,0.781,0.824,1.259,1.917
Car,-2.372426925,-6.854,26.46,0.589,2.102,4.628,1.474
Car,0.635908095,34.919,-11.359,0.811,1.924,4.164,1.663
Pickup Truck,0.618454802,40.027,-18.073,1.355,2.333,5.944,2.116
Pickup Truck,0.653361388,25.906,1.561,0.595,2.216,6.266,1.945
Other Vehicle - Uncommon,-0.801551186,25.897,-47.279,0.329,1.405,2.943,2
Car,0.583696599,49.502,-31.709,2.06,1.841,4.408,1.99
Car,0.618603184,43.673,-16.202,1.165,1.841,4.408,1.99
Car,-2.354973632,-8.704,23.317,0.6,1.937,4.143,1.642
Car,-0.776362307,114.658,116.61,0.221,1.983,4.2,1.643
Car,-1.999003803,-126.821,138.092,0.169,1.825,4.441,1.641
Car,-2.33752034,-19.084,33.955,0.658,2.17,4.835,1.836
Car,-2.33752034,-13.885,28.142,0.481,2.044,4.381,1.605
Car,2.374344169,126.755,152.526,0.295,2.039,4.503,1.714
Personal Mobility Device,0.778505468,52.509,45.769,0.173,0.539,1.065,1.225
Construction Signs,-2.363801178,-24.364,30.921,0.439,0.931,0.764,1.249
Car,0.788870501,-95.656,118.198,0.767,1.913,4.441,1.641
Car,-2.344965119,-31.493,42.259,0.281,1.913,4.441,1.623
Car,0.664369051,69.555,-58.606,3.815,1.841,4.408,1.868
Car,0.493921426,29.547,3.489,0.274,1.841,4.408,1.677
Car,0.74581775,79.326,-76.942,5.198,1.841,4.408,1.625
Car,0.618603184,58.618,-43.938,3.362,1.841,4.408,2.105
Other Vehicle - Construction Vehicle,2.283860613,45.789,69.968,1.788,2.757,7.215,4.132
Car,-0.776362307,125.363,127.323,0.321,1.983,4.2,1.643
Car,-0.776362307,164.026,166.822,0.201,1.983,4.2,1.402
Car,-0.776362307,138.981,141.251,0.221,1.983,4.2,1.643
Car,0.798372964,-67.442,99.122,-0.031,1.825,4.441,1.641
Other Vehicle - Uncommon,2.35749476,0.057,-23.036,0.929,1.405,2.943,2
Cones,2.320352623,49.373,71.445,0.118,0.266,0.307,0.792
Car,2.381333364,-13.929,9.403,0.572,1.849,4.464,1.69
Pickup Truck,2.367423281,-48.082,-30.869,1.299,2.025,5.589,2.033
